"","adm1","adm2","month","year","conf"
"623","Faranah","Dabola",5,2020,2775
"624","Faranah","Dabola",5,2021,2137
"625","Faranah","Dabola",5,2022,2447
"626","Faranah","Dabola",6,2018,4092
"627","Faranah","Dabola",6,2019,4780
"628","Faranah","Dabola",6,2020,6811
"629","Faranah","Dabola",6,2021,4546
"630","Faranah","Dabola",6,2022,5783
"631","Faranah","Dabola",7,2018,4836
"632","Faranah","Dabola",7,2019,5534
"633","Faranah","Dabola",7,2020,5739
"634","Faranah","Dabola",7,2021,6612
"635","Faranah","Dabola",7,2022,9244
"636","Faranah","Dabola",8,2018,4475
"637","Faranah","Dabola",8,2019,6440
"638","Faranah","Dabola",8,2020,6662
"639","Faranah","Dabola",8,2021,7808
"640","Faranah","Dabola",8,2022,7704
"641","Faranah","Dabola",9,2018,5102
"642","Faranah","Dabola",9,2019,4141
"643","Faranah","Dabola",9,2020,4268
"644","Faranah","Dabola",9,2021,4297
"645","Faranah","Dabola",9,2022,9252
"646","Faranah","Dabola",10,2018,5060
"647","Faranah","Dabola",10,2019,4677
"648","Faranah","Dabola",10,2020,4333
"649","Faranah","Dabola",10,2021,4120
"650","Faranah","Dabola",10,2022,7713
"651","Faranah","Dabola",11,2018,4608
"652","Faranah","Dabola",11,2019,4849
"653","Faranah","Dabola",11,2020,5789
"654","Faranah","Dabola",11,2021,4706
"655","Faranah","Dabola",11,2022,9341
"656","Faranah","Dabola",12,2018,2617
"657","Faranah","Dabola",12,2019,3307
"658","Faranah","Dabola",12,2020,2712
"659","Faranah","Dabola",12,2021,3921
"660","Faranah","Dabola",12,2022,4608
"661","Faranah","Dinguiraye",1,2018,552
"662","Faranah","Dinguiraye",1,2019,556
"663","Faranah","Dinguiraye",1,2020,1000
"664","Faranah","Dinguiraye",1,2021,1507
"665","Faranah","Dinguiraye",1,2022,1662
"666","Faranah","Dinguiraye",2,2018,608
"667","Faranah","Dinguiraye",2,2019,458
"668","Faranah","Dinguiraye",2,2020,827
"669","Faranah","Dinguiraye",2,2021,766
"670","Faranah","Dinguiraye",2,2022,1169
"671","Faranah","Dinguiraye",3,2018,513
"672","Faranah","Dinguiraye",3,2019,320
"673","Faranah","Dinguiraye",3,2020,549
"674","Faranah","Dinguiraye",3,2021,1001
"675","Faranah","Dinguiraye",3,2022,932
"676","Faranah","Dinguiraye",4,2018,402
"677","Faranah","Dinguiraye",4,2019,290
"678","Faranah","Dinguiraye",4,2020,543
"679","Faranah","Dinguiraye",4,2021,885
